id,Name,Base Game,Year,Purchases
1,NieR:Automata - 3C3C1D119440927,NieR:Automata - Standard Edition,,Steam
2,NieR Replicant 4 YoRHa,NieR Replicant ver.1.22474487139,,Steam
3,AI War: Ancient Shadows DLC,AI War: Fleet Command,,
4,AI War: Children of Neinzul DLC,AI War: Fleet Command,,
5,AI War: Destroyer of Worlds DLC,AI War: Fleet Command,,
6,AI War: Light of the Spire DLC,AI War: Fleet Command,,
7,AI War: The Zenith Remnant DLC,AI War: Fleet Command,,
8,AI War: Vengeance Of The Machine DLC,AI War: Fleet Command,,
9,Alien: Isolation - Last Survivor,Alien: Isolation,,
10,Beats Fever - Big Apple DLC,Beats Fever,,
11,Going East!,Euro Truck Simulator 2,,
12,Scandinavia,Euro Truck Simulator 2,,
13,Trucking Fan DLC Bundle,Euro Truck Simulator 2,,
14,Old Timers DLC,MudRunner,,
15,The Ridge DLC,MudRunner,,
16,The Valley DLC,MudRunner,,
17,Beyond the Sword,Sid Meier's Civilization IV,,
18,Colonization,Sid Meier's Civilization IV,,
19,Warlords,Sid Meier's Civilization IV,,
20,Babylon (Nebuchadnezzar II),Sid Meier's Civilization V,,
21,Brave New World,Sid Meier's Civilization V,,
22,Civilization and Scenario Pack: Denmark The Vikings,Sid Meier's Civilization V,,
23,Civilization and Scenario Pack: Korea,Sid Meier's Civilization V,,
24,Civilization and Scenario Pack: Polynesia,Sid Meier's Civilization V,,
25,Cradle of Civilization: Americas,Sid Meier's Civilization V,,
26,Cradle of Civilization: Asia,Sid Meier's Civilization V,,
27,Cradle of Civilization: Mediterranean,Sid Meier's Civilization V,,
28,Cradle of Civilization: Mesopotamia,Sid Meier's Civilization V,,
29,Double Civilization and Scenario Pack: Spain and Inca,Sid Meier's Civilization V,,
30,Explorer’s Map Pack,Sid Meier's Civilization V,,
31,Gods and Kings,Sid Meier's Civilization V,,
32,Scrambled Continents Map Pack,Sid Meier's Civilization V,,
33,Scrambled Nations Map Pack,Sid Meier's Civilization V,,
34,Wonders of the Ancient World Scenario Pack,Sid Meier's Civilization V,,
35,Blood and Wine,The Witcher 3: Wild Hunt,,GOG
36,The Witcher 3: Wild Hunt - Free DLC Program,The Witcher 3: Wild Hunt,,GOG
37,Hearts of Stone,The Witcher 3: Wild Hunt,,GOG
38,Season Pass,Tom Clancy's The Division,,
39,Frontline Outfit Pack,Tom Clancy's The Division,,
40,Last Stand,Tom Clancy's The Division,,
41,Survival,Tom Clancy's The Division,,
42,Underground,Tom Clancy's The Division,,
43,Battle Tactics,Total Annihilation,,
44,The Core Contingency,Total Annihilation,,
45,Blood & Gore,Total War: Rome II,,
46,Greek States Culture Pack,Total War: Rome II,,
47,Nomadic Tribes Culture Pack,Total War: Rome II,,
48,Platform Clutter Pack,Train Simulator 2017: Standard Edition,,
49,Town Scenery Pack,Train Simulator 2017: Standard Edition,,
50,Soundtrack,Undertale,,
51,Norse Dragons,Wargame: Red Dragon,,
52,Russian Roulette 10v10 Map,Wargame: Red Dragon,,
53,Second Korean War,Wargame: Red Dragon,,
54,The Millionth Mile,Wargame: Red Dragon,,
55,Elite Soldier Pack,XCOM: Enemy Unknown,,
56,Slingshot Pack,XCOM: Enemy Unknown,,
57,Soundtrack,Desperados III,,
58,Season Pass,Desperados III,,
59,Money for the Vultures - Part 1: Late to the Party,Desperados III,,
60,Money for the Vultures - Part 2: Five Steps Ahead,Desperados III,,
61,Money for the Vultures - Part 3: Once More With Feeling,Desperados III,,
62,The Following,Dying Light - Enhanced Edition,,
63,Season Pass,Dying Light - Enhanced Edition,,
64,Crash Test Skin Pack,Dying Light - Enhanced Edition,,
65,Epic Champions of Renown Pack,Idle Champions of the Forgotten Realms,,
66,Contingency Plan,"""Invinsible, Inc.""",,
67,Soundtrack,Layers of Fear,,
68,Deluxe Upgrade,Life is Strange: Before the Storm,,
69,Special Edition DLC,Mark of the Ninja,,
70,Original Soundtrack,Outcast - Second Contact,,
71,Whistleblower DLC,Outlast,,
72,Epic Pack,Paladins,,
73,Blackout,Project Winter,,
74,Bathurst Track Pack,GRID 2,,
75,Spa-Francorchamps Track Pack,GRID 2,,
76,Soundtrack,Shadow Tactics: Blades of the Shogun,,GOG
77,Artbook + Strategy Guide,Shadow Tactics: Blades of the Shogun,,GOG
78,Date Night DLC,The Sims 3,,
79,The Walking Dead: 400 Days,The Walking Dead: Season 1,,
80,Elite Soldier Pack,XCOM: Enemy Unknown,,
81,Slingshot Pack,XCOM: Enemy Unknown,,
82,XCOM: Enemy Within,XCOM: Enemy Unknown,,
83,Zombie Night Terror Special Edition Upgrade,Zombie Night Terror,,GOG
84,THE KICKSTARTER: The Electro Skin Hull Enhancement,Star Citizen,,"""Cloud Imperium Games,Kickstarter"""
85,Origin 300i,Star Citizen,,"""Cloud Imperium Games,Kickstarter"""
86,A Clash of Pumpkins,Dungeons 2,,
87,Master Levels of DOOM,DOOM II,1995,GOG
88,Shadowgate: Special Edition Upgrade,Shadowgate,,GOG
89,Deus Ex: Revision,Deus Ex (GOTY Edition),,GOG
90,Broken Sword: Director's Cut - Soundtrack,Broken Sword: The Shadow of the Templars - Director's Cut,,GOG
91,Broken Sword 4: The Angel of Death - Soundtrack,,,GOG
92,Pillars of Eternity: Deadfire Pack,Pillars of Eternity: Kickstarter Champion Edition,2017,GOG
93,Shadowrun Returns Deluxe,Shadowrun Returns,,
94,Rogue Company Season Four Epic Pack,,,Epic Games
95,Antstream - Epic Welcome Pack,Antstream Arcade,,Epic Games
96,Pre-order pack,Dying Light 2 Stay Human,2022,"""Gamesplanet,Steam"""
97,Epic Slayer Kit,Dauntless,,Epic Games
98,The Eldritch Box,Dagon: by H. P. Lovecraft,,"""Humble Store,Steam"""
99,European Assault,X-Morph: Defense,,"""Humble Store,Steam"""
100,Survival of the Fittest,X-Morph: Defense,,"""Humble Store,Steam"""
101,Last Bastion,X-Morph: Defense,,"""Humble Store,Steam"""
102,MechWarrior 5: Heroes of the Inner Sphere,MechWarrior 5: Mercenaries - JumpShip Edition,2021,Epic Games
103,MechWarrior 5: Legend of the Kestrel Lancers,MechWarrior 5: Mercenaries - JumpShip Edition,2021,Epic Games
104,MechWarrior 5: Mercenaries Digital Extras,MechWarrior 5: Mercenaries - JumpShip Edition,2021,Epic Games
105,Boom Boxer Content Pack,Rumbleverse,,Epic Games
106,Soundtrack,Shadow Tactics: Blades of the Shogun - Aiko's Choice,,GOG
107,Destiny 2: Bungie 30th Anniversary Pack,Destiny 2,,Epic Games
108,Realm Royale Reforged Epic Launch Bundle,Realm Royale Reforged,,Epic Games
109,Epic Cheerleader Pack,Rumbleverse,,Epic Games
110,World of Warships - Starter Pack: Ishizuchi,World of Warships,,Epic Games
111,The Sims 4: Jungle Adventure,The Sims 4,,Epic Games
112,The Sims 4: Luxury Party Stuff,The Sims 4,,Epic Games
113,The Sims 4: Fashion Street Kit,The Sims 4,,Epic Games
114,Oxygen Not Included - Spaced Out!,Oxygen Not Included,,Steam
115,Oxygen Not Included Soundtrack,Oxygen Not Included,,Steam
116,Root: The Riverfolk Expansion,Root,,Steam
117,Root: The Clockwork Expansion,Root,,Steam
118,Root Soundtrack,Root,,Steam
119,Fallout: London (for Fallout 4 GOTY),,,GOG
120,World of Warships — Starter Pack: Albany,World of Warships,,Epic Games
121,World of Warships - Anniversary Party Favor,World of Warships,,Epic Games
154,SWAT: Elite Force,SWAT 4: Gold Edition,,GOG
