id,Name,Release,Remake,Series,Tags,Purchases,Status,Content,DLCs
1,NieR:Automata - Standard Edition,2017,,NieR,,Steam,Completed,,NieR:Automata - 3C3C1D119440927
2,NieR Replicant ver.1.22474487139,2010,2021,NieR,,Steam,Started,,NieR Replicant 4 YoRHa
3,Populous,1989,,Populous,,"""Origin,Humble Store"",GOG",,,
4,10 Classic SEGA Genesis Games,,,,,,,,
5,12 is Better Than 6,,,,,,,,
6,2000:1: A Space Felony,,,,,,,,
7,"3 out of 10, EP 1: ""Welcome To Shovelworks""",2020,,3 out of 10,,,,,
8,3 out of 10: Season Two,2021,,3 out of 10,,,,,
9,A Chair in a Room: Greenwater,,,,,,Completed,,
10,A New Beginning - Final Cut,,,,,GOG,,,
11,A Plague Tale: Innocence,,,,,,,,
12,A Story About My Uncle,,,,,,,,
13,A Total War Saga: TROY,2020,,Total War,,,,,
14,A-10C: Advanced Aircraft Training Qualification Campaign,,,DCS World,,,Backlog,,
15,A-10C: Basic Flight Training Campaign,,,DCS World,,,Started,,
16,A-10C: Enemy Within Campaign,,,DCS World,,,Backlog,,
17,A-10C: Operation Piercing Fury Campaign,,,DCS World,,,Backlog,,
18,A-10C: Tactical Training Qualification Campaign,,,DCS World,,,Backlog,,
19,A2Be - A Science Fiction Narrative,,,,,,,,
20,Absolute Drift,,,,,GOG,Started,,
21,ABZÛ,,,,,GOG,,,
22,ADR1FT,,,,VR,,Dropped,,
23,Aegis Defenders,,,,,,,,
24,AER Memories of Old,,,,,,,,
25,Agatha Christie - The ABC Murders,,,,,,,,
26,Age of Wonders III,,,,,,,,
27,AI War: Fleet Command,,,,,,,,"AI War: Ancient Shadows DLC,AI War: Children of Neinzul DLC,AI War: Destroyer of Worlds DLC,AI War: Light of the Spire DLC,AI War: The Zenith Remnant DLC,AI War: Vengeance Of The Machine DLC"
28,Akane,,,,,,,,
29,Alan Wake,2010,,Alan Wake,,GOG,Backlog,,
30,Alan Wake's American Nightmare,2012,,Alan Wake,,GOG,,,
31,Alien Breed - Complete Pack,,,,,,,,
32,Alien Shooter 2: Reloaded,,,,,GOG,,,
33,Alien Versus Predator,,,,,,,,
34,Alien Versus Predator Classic 2000,,,,,GOG,,,
35,Alien: Isolation,,,,,,,,Alien: Isolation - Last Survivor
36,All Walls Must Fall,,,,,"""Steam,Kickstarter""",Backlog,,
37,Alpha Protocol,,,,,,,,
38,Amnesia: A Machine for Pigs,2013,,Amnesia,,,,,
39,Amnesia: The Dark Descent,2010,,Amnesia,,GOG,,,
40,Among the Sleep - Enhanced Edition,,,,,,,,
41,Among Us,,,,,,,,
42,Anachronox,,,,,GOG,,,
43,Anna,,,,,,,,
44,Another World: 15th Anniversary Edition,,,,,GOG,Completed,,
45,Antichamber,,,,,,,,
46,Ape Out,,,,,,,,
47,Aquaria,,,,,,,,
48,ARK: Survival Evolved,,,,,,,,
49,Ashes of the Singularity: Escalation,,,,,,,,
50,Assassin's Creed - Director's Cut,2007,,Assassin's Creed,,GOG,Backlog,,
51,Assassin's Creed II,2009,,Assassin's Creed,,,Backlog,,
52,Assassin's Creed III,2012,,Assassin's Creed,,,Backlog,,
53,Assassin's Creed IV: Black Flag,2013,,Assassin's Creed,,,Backlog,,
54,Assassin's Creed Unity,2014,,Assassin's Creed,,,Backlog,,
55,Assetto Corsa,,,,,,,,
56,Attack on Titan - Episode All Set (Episodes 1-3),,,,,,,,
57,Attack on Titan: Wings of Freedom,,,,,,Completed,,
58,Audioshield,,,,,,,,
59,Automachef,,,,,,,,
60,Baba Is You,,,,,,,,
61,Bad North: Jotunn Edition,,,,,,,,
62,Baldur's Gate,1998,,Baldur's Gate,,,,,
63,Baldur's Gate 2 Complete,2000,,Baldur's Gate,,GOG,,,
64,Baldur's Gate II,2000,,Baldur's Gate,,,,,
65,Baldur's Gate II: Enhanced Edition,2013,,Baldur's Gate,,GOG,Backlog,,
66,Baldur's Gate II: Throne of Bhaal,2001,,Baldur's Gate,,,,,
67,Baldur's Gate: Enhanced Edition,2012,,Baldur's Gate,,GOG,Backlog,,
68,Baldur's Gate: Tales of the Sword Coast,1999,,Baldur's Gate,,,,,
69,Baldur's Gate: The Original Saga,1998,,Baldur's Gate,,GOG,,,
70,Batman: Arkham Asylum,2009,,Batman: Arkham,,,,,
71,Batman: Arkham City,2011,,Batman: Arkham,,,,,
72,Batman: Arkham Knight,2015,,Batman: Arkham,,,,,
73,Battlefield 3,,,,,,,,
74,Beat Saber,,,,VR,,Started,,
75,Beats Fever,,,,,,,,Beats Fever - Big Apple DLC
76,Beyond Good and Evil,,,,,GOG,,,
77,Binary Domain,,,,,,,,
78,Bionic Dues,,,,,,,,
79,BioShock,2007,,BioShock,,,,,
80,BioShock 2,2010,,BioShock,,,,,
81,BioShock Infinite,2013,,BioShock,,,,,
82,BioShock Remastered,2007,,BioShock,,Epic Games,Backlog,,
83,Blair Witch,,,,,,,,
84,Blitzkrieg,2003,,Blitzkrieg,,GOG,,,
85,Blitzkrieg: Burning Horizon,2004,,Blitzkrieg,,GOG,,,
86,Blitzkrieg: Iron Division,2005,,Blitzkrieg,,GOG,,,
87,Blitzkrieg: Rolling Thunder,2004,,Blitzkrieg,,GOG,,,
88,Borderlands 2,2012,,Borderlands,,,Dropped,,
89,Borderlands: The Pre-Sequel,2014,,Borderlands,,,,,
90,Botanicula,,,,,Epic Games,Dropped,,
91,Braid,,,,,GOG,,,
92,Breach & Clear,,,,,,Backlog,,
93,Bridge Constructor: The Walking Dead,,,,,,,,
94,Bridge Project,,,,,,,,
95,Brigador: Up-Armored Edition,,,,,GOG,,,
96,Broken Age (Double Fine Adventure),,,,,"""Steam,Kickstarter""",Started,,
97,Broken Sword: The Shadow of the Templars,1996,,Broken Sword,,GOG,,,
98,Broken Sword 2: The Smoking Mirror,1997,,Broken Sword,,GOG,,,
99,Broken Sword 2: The Smoking Mirror - Remastered,1997,,Broken Sword,,GOG,,,
100,Broken Sword 3: The Sleeping Dragon,2003,,Broken Sword,,GOG,,,
101,Broken Sword 4: The Angel of Death (Secrets of the Ark),2006,,Broken Sword,,GOG,,,
102,Broken Sword 5: The Serpent's Curse,2013,,Broken Sword,,GOG,,,
