id,Shop,Date,Cost,Base Games,DLCs,Bundle Name
1,Steam,2018-04-24,"29,99€",NieR:Automata - Standard Edition,,
2,Steam,2018-11-26,"6,99€",,NieR:Automata - 3C3C1D119440927,
3,Steam,2021-06-24,"44,99€",NieR Replicant ver.1.22474487139,,
4,Steam,2021-06-24,"0,00€",,NieR Replicant 4 YoRHa,
5,"Origin,Humble Store",2013-08-14,"0,39€",Populous,,
6,GOG,2021-08-10,"0,00€","Ultima Underworld: The Stygian Abyss,Ultima Underworld II: Labyrinth of Worlds",,
7,GOG,2021-07-31,"0,00€",Wanderlust: Transsiberian,,
8,GOG,2021-07-15,"0,00€","Syberia,Syberia 2",,
9,GOG,2021-06-19,"0,00€",Absolute Drift,,
10,GOG,2020-12-23,"0,00€",Brigador: Up-Armored Edition,,
11,GOG,2020-12-08,"0,00€",Seven: Enhanced Edition,,
12,GOG,2020-11-16,"0,00€",Butcher,,
13,GOG,2020-10-20,"0,00€",Europa Universalis II,,
14,GOG,2020-08-24,"0,00€",Serious Sam: The First Encounter,,
15,GOG,2020-07-18,"0,00€","""Warhammer 40,000: Rites of War""",,
16,GOG,2020-06-25,"0,00€",Cyberpunk 2077 Goodies Collection,,
17,GOG,2020-06-18,"0,00€","Eye of the Beholder,Eye of the Beholder II: The Legend of Darkmoon,Eye of the Beholder III: Assault on Myth Drannor",,Forgotten Realms: The Archives - Collection One (Eye of the Beholder Trilogy)
18,GOG,2020-06-13,"0,00€",Hitman: Absolution,,
19,GOG,2020-06-04,"0,00€","Delores: A Thimbleweed Park mini-adventure,Jill of the Jungle: The Complete Trilogy,POSTAL: Classic and Uncut,Shadow Warrior Classic Complete,Eschalon: Book I,The Lords of Midnight,Flight of the Amazon Queen,Sang-Froid: Tales of Werewolves,Doomdark's Revenge,Ascendant,Akalabeth: World of Doom,Overload - Playable Teaser,Bio Menace,War Wind,Sunrider: Mask of Arcadius,Hello Neighbor Alpha Version",,
20,GOG,2020-04-03,"0,00€",SYMMETRY,,
21,GOG,2020-03-20,"0,00€",Mable & The Wood,,
22,GOG,2019-12-31,"0,00€",Tower of Time,,
23,GOG,2019-12-16,"0,00€",POSTAL 2,,
24,GOG,2019-12-11,"0,00€",Wasteland 2 Director's Cut Digital Classic Edition,,
25,GOG,2019-01-24,"0,00€",DISTRAINT: Deluxe Edition,,
26,GOG,2018-10-05,"0,00€",Shadow Warrior 2,,
27,GOG,2018-09-05,"0,00€",Shadowrun Returns,,
28,GOG,2018-06-12,"0,00€",Ziggurat,,
29,GOG,2018-06-05,"0,00€","Prison Architect,Psychonauts",,
30,GOG,2018-05-23,"0,00€",Unreal Gold,,
31,GOG,2021-02-12,"14,29€",Noita,,
32,GOG,2021-08-04,"1,39€",Hammerwatch,,
33,GOG,2018-08-31,"7,29€",ABZÛ,,
34,GOG,2019-12-03,"35,99€",Divinity: Original Sin 2 - Divine Edition,,
35,GOG,2019-12-03,"1,69€",Flashback,,
36,Oculus Store,2017-12-06,"29,99€",Lone Echo,,
37,Oculus Store,2017-12-06,"9,99€",Tilt Brush,,
38,"Steam,Kickstarter",2017-04-19,"18,00€",All Walls Must Fall,,
39,"Steam,Epic Games,Kickstarter",2015-07-18,"27,32€",Shenmue III,,
40,"Steam,Kickstarter",2013-07-29,"27,19€",Satellite Reign,,
41,Kickstarter,2013-04-20,"7,83€","""Truth & Trolls (""""9 Year Old Builds Her First RPG"""")""",,
42,"GOG,Kickstarter",2013-04-06,"27,79€",Torment: Tides of Numenera,,
43,"Steam,Kickstarter",2013-02-26,"39,22€",Dreamfall Chapters: The Longest Journey,,
44,"Cloud Imperium Games,Kickstarter",2012-11-19,"50,78€",Star Citizen,"THE KICKSTARTER: The Electro Skin Hull Enhancement,Origin 300i",BOUNTY HUNTER - LTI
45,"Steam,Kickstarter",2012-05-02,"11,65€",Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,,
46,"Steam,Kickstarter",2012-04-02,"11,52€","Takedown: Red Sabre,Epsilon",,
47,"Steam,Kickstarter",2012-03-14,"23,44€",Broken Age (Double Fine Adventure),,
48,GOG,2018-02-16,"0,00€",Dungeons 2,,
49,GOG,2018-02-13,"0,00€","Orwell: Keeping an Eye On You,Torchlight,Tropico 4",,GOGCONNECT
50,GOG,2018-02-13,"0,00€",The King of Fighters 2002,,
51,GOG,2018-01-18,"0,00€",Carmageddon TDR 2000,,
52,GOG,2018-01-11,"0,00€",Treasure Adventure Game,,
53,GOG,2017-12-25,"0,00€","The Whispered World: Special Edition,The Wolf Among Us",,GOGCONNECT
54,GOG,2017-12-20,"7,69€",Homeworld: Emergence/Cataclysm,,
55,GOG,2017-12-20,"0,00€",Oxenfree,,
